,0,1,accuracy,macro avg,weighted avg
precision,0.871233582281741,0.6385421867199201,0.8235233903163067,0.7548878845008306,0.8169492450429868
recall,0.9033377837116154,0.5612110574813515,0.8235233903163067,0.7322744205964835,0.8235233903163067
f1-score,0.8869952805453593,0.5973843998131715,0.8235233903163067,0.7421898401792654,0.8194322549348918
support,7490.0,2279.0,0.8235233903163067,9769.0,9769.0
