,0,1,accuracy,macro avg,weighted avg
precision,0.8687185929648241,0.6821448313985627,0.8341693110860886,0.7754317121816934,0.8251929913055438
recall,0.9232309746328438,0.5414655550680123,0.8341693110860886,0.732348264850428,0.8341693110860886
f1-score,0.8951456310679612,0.6037181996086105,0.8341693110860886,0.7494319153382858,0.8271588241997189
support,7490.0,2279.0,0.8341693110860886,9769.0,9769.0
