,0,1,accuracy,macro avg,weighted avg
precision,0.8717045157922213,0.615092548647366,0.8163578667212611,0.7433985322197936,0.81183977291955
recall,0.8917222963951936,0.5686704695041684,0.8163578667212611,0.730196382949681,0.8163578667212611
f1-score,0.8815997888067582,0.5909712722298222,0.8163578667212611,0.7362855305182902,0.8137993599728103
support,7490.0,2279.0,0.8163578667212611,9769.0,9769.0
